"","SYMBOL"
"303","MICU1"
"304","MCU"
"305","P4HA1"
"306","CFAP70"
"307","USP54"
"308","SYNPO2L"
"309","SYNPO2L-AS1"
"310","CHCHD1"
"311","ZSWIM8"
"312","LOC107984243"
"313","KCNMA1"
"314","GRID1"
"315","RNLS"
"316","LOC101929727"
"317","LIPM"
"318","SLC16A12"
"319","SLC16A12-AS1"
"320","PCGF5"
"321","RPL12P27"
"322","CRTAC1"
"323","HPSE2"
"324","GOT1"
"325","SEMA4G"
"326","MRPL43"
"327","MIR608"
"328","TLX1NB"
"329","TLX1"
"330","BTRC"
"331","ELOVL3"
"332","SUFU"
"333","SFXN2"
"334","WBP1L"
"335","PCGF6"
"336","STN1"
"337","CCDC186"
"338","ATRNL1"
"339","LOC105378522"
"340","PSTK"
"341","C10orf90"
"342","DOCK1"
"343","MGMT"
"344","LINC02646"
"345","STK32C"
"346","INPP5A"
"347","BRSK2"
"348","LOC105376517"
"349","SLC22A18"
"350","SLC22A18AS"
"351","OR52I2"
"352","MMP26"
"353","HBE1"
"354","HBG2"
"355","OR51AB1P"
"356","UBQLN3"
"357","OR51B5"
"358","TRIM5"
"359","TRIM22"
"360","OR52U1P"
"361","OR52N2"
"362","CAVIN3"
"363","LOC101927825"
"364","DNHD1"
"365","RRP8"
"366","SBF2"
"367","RNF141"
"368","AMPD3"
"369","MIR4485"
"370","IRAG1"
"371","LYVE1"
"372","LOC105379882"
"373","GALNT18"
"374","MIR8070"
"375","DKK3"
"376","LINC02547"
"377","MICAL2"
"378","LINC02545"
"379","RRAS2"
"380","COPB1"
"381","CALCB"
"382","NAV2"
"383","ANO5"
"384","LOC102723370"
"385","LINC02755"
"386","ARL14EP-DT"
"387","MPPED2"
"388","LOC101928338"
"389","DCDC1"
"390","DNAJC24"
"391","IMMP1L"
"392","THEM7P"
"393","SNORA88"
"394","LOC107984322"
"395","LOC105376634"
"396","LINC01499"
"397","ACCS"
"398","ACCSL"
"399","OR4A40P"
"400","OR5A2"
"401","OR4D7P"
"402","LOC102723575"
"403","PATL1"
"404","PATL1-DT"
"405","LOC105369318"
"406","OR10V2P"
"407","STX3"
"408","CBLIF"
"409","TCN1"
"410","MS4A4E"
"411","MS4A4A"
"412","MS4A1"
"413","LINC00301"
"414","LOC105369321"
"415","DDB1"
"416","SDHAF2"
"417","RN7SL23P"
"418","RTN3"
"419","PCNX3"
